name,cals,fat,carbs,protein,nutr_code
"Asparagus, canned, drained solids",0.19,0.0585,0.0984,0.08560000000000001,11015
"Asparagus, canned, no salt added, solids and liquids",0.15,0.0162,0.0992,0.07200000000000001,11707
"Asparagus, canned, regular pack, solids and liquids",0.15,0.0162,0.0992,0.07200000000000001,11013
"Asparagus, cooked, boiled, drained",0.22,0.0198,0.16440000000000002,0.096,11012
"Asparagus, cooked, boiled, drained, with salt",0.22,0.0198,0.16440000000000002,0.096,11705
"Asparagus, frozen, cooked, boiled, drained, with salt",0.18,0.0378,0.0768,0.118,11709
"Asparagus, frozen, cooked, boiled, drained, without salt",0.18,0.0378,0.0768,0.118,11019
"Asparagus, frozen, unprepared",0.24,0.0207,0.16399999999999998,0.1292,11018
"Asparagus, raw",0.2,0.0108,0.1552,0.08800000000000001,11011
"Avocados, raw, California",1.67,1.3869000000000002,0.3456,0.0784,9038
"Avocados, raw, Florida",1.2,0.9054,0.3128,0.0892,9039
"Avocados, raw, all commercial varieties",1.6,1.3194,0.34119999999999995,0.08,9037
"BARBARA DEE, Winter Mints Cookies",5.15,2.34,2.684,0.156,18991
"BEAR NAKED, Double Chocolate Cookies",4.23,1.521,2.676,0.264,18993
"BEAR NAKED, Fruit & Nut Cookies",4.43,1.926,2.464,0.3,18994
Bacon and beef sticks,5.17,3.978,0.032,1.164,7921
"Bacon bits, meatless",4.76,2.331,1.144,1.28,43212
"Bacon, meatless",3.09,2.6568,0.2124,0.4676,16104
"Bacon, pre-sliced, reduced/low sodium, unprepared",4.07,3.5343000000000004,0.0332,0.5012,10994
"Bacon, turkey, low sodium",2.53,1.8,0.192,0.5332,7974
"Bagels, cinnamon-raisin",2.74,0.15300000000000002,2.208,0.392,18005
"Bagels, cinnamon-raisin, toasted",2.94,0.16200000000000006,2.372,0.424,18006
"Bagels, egg",2.78,0.18899999999999997,2.12,0.424,18003
"Bagels, multigrain",2.41,0.1116,1.8988,0.396,28322
"Bagels, oat bran",2.55,0.10800000000000001,2.132,0.428,18007
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",2.64,0.1188,2.0952,0.4224,18001
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",2.87,0.1287,2.2956,0.4456,18002
"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",2.75,0.14400000000000002,2.136,0.42,18406
"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",2.75,0.14400000000000002,2.136,0.42,18407
"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",2.75,0.14400000000000002,2.136,0.42,18408
"Bagels, wheat",2.5,0.13770000000000002,1.9556,0.408,18968
"Bagels, whole grain white",2.55,0.0,2.1808,0.3720000000000001,28319
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",0.32,0.018000000000000002,0.2464,0.14400000000000002,11710
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",0.34,0.018000000000000002,0.2672,0.14400000000000002,11023
"Balsam-pear (bitter gourd), leafy tips, raw",0.3,0.0621,0.1316,0.212,11022
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",0.19,0.0162,0.1728,0.0336,11711
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",0.19,0.0162,0.1728,0.0336,11025
"Balsam-pear (bitter gourd), pods, raw",0.17,0.0153,0.14800000000000002,0.04,11024
"Bamboo shoots, canned, drained solids",0.19,0.036000000000000004,0.1288,0.0688,11028
"Bamboo shoots, cooked, boiled, drained, with salt",0.11,0.0198,0.0608,0.0612,11712
"Bamboo shoots, cooked, boiled, drained, without salt",0.12,0.0198,0.0768,0.0612,11027
"Bamboo shoots, raw",0.27,0.027000000000000003,0.208,0.104,11026
"Bananas, dehydrated, or banana powder",3.46,0.16290000000000002,3.5312,0.15560000000000002,9041
"Bananas, raw",0.89,0.0297,0.9136,0.0436,9040
"Barbecue loaf, pork, beef",1.73,0.8009999999999999,0.256,0.6335999999999999,7001
Barley flour or meal,3.45,0.14400000000000002,2.9808,0.42,20130
Barley malt flour,3.61,0.1656,3.132,0.4112,20131
"Barley, hulled",3.54,0.207,2.9392,0.4992,20004
"Barley, pearled, cooked",1.23,0.0396,1.1288,0.0904,20006
"Barley, pearled, raw",3.52,0.1044,3.1088,0.3964,20005
"Basil, fresh",0.23,0.05760000000000001,0.106,0.126,2044
"Beans, adzuki, mature seed, cooked, boiled, with salt",1.28,0.009000000000000001,0.9908,0.3008,16302
"Beans, adzuki, mature seeds, canned, sweetened",2.37,0.0027,2.2004,0.152,16003
"Beans, adzuki, mature seeds, cooked, boiled, without salt",1.28,0.009000000000000001,0.9908,0.3008,16002
"Beans, adzuki, mature seeds, raw",3.29,0.0477,2.516,0.7948000000000001,16001
"Beans, baked, canned, no salt added",1.05,0.036000000000000004,0.8195999999999999,0.192,43449
"Beans, baked, canned, plain or vegetarian",0.94,0.0333,0.8456,0.19,16006
"Beans, baked, canned, with beef",1.21,0.3105,0.6764,0.2552,16007
"Beans, baked, canned, with franks",1.42,0.5913,0.6156,0.27,16008
"Beans, baked, canned, with pork",1.06,0.1395,0.7996,0.2076,16009
"Beans, baked, canned, with pork and sweet sauce",1.05,0.0801,0.8628,0.1808,16010
"Beans, baked, canned, with pork and tomato sauce",0.94,0.08370000000000001,0.7476,0.206,16011
"Beans, baked, home prepared",1.55,0.4635,0.8652,0.2216,16005
"Beans, black turtle, mature seeds, canned",0.91,0.0261,0.662,0.2412,16018
"Beans, black turtle, mature seeds, cooked, boiled, with salt",1.3,0.0315,0.974,0.3272,16317
"Beans, black turtle, mature seeds, cooked, boiled, without salt",1.3,0.0315,0.974,0.3272,16017
"Beans, black turtle, mature seeds, raw",3.39,0.08100000000000003,2.53,0.85,16016
"Beans, black, mature seeds, canned, low sodium",0.91,0.0261,0.662,0.2412,16316
"Beans, black, mature seeds, cooked, boiled, with salt",1.32,0.0486,0.9484,0.3544,16315
"Beans, black, mature seeds, cooked, boiled, without salt",1.32,0.0486,0.9484,0.3544,16015
"Beans, black, mature seeds, raw",3.41,0.1278,2.4944,0.8640000000000001,16014
